make,model,inventory_location,model_code,year,transmission,color,drive,doors,steering,seats,engine_type,body_type,engine_size,mileage,fuel,fob_price,total_price
TOYOTA,DYNA,Yokohama - Japan,TKG-XZU710,2014/7,MT,White,2WD,2,RHD,3,N04C,Truck,"4,000cc","332,000km",DIESEL,9160,15908
TOYOTA,HARRIER,Hakata - Japan,DBA-ZSU60W,2013/12,AT,PURPLE(D),2WD,5,RHD,5,3ZR,SUV,"1,980cc","101,000km",PETROL,9100,11089
TOYOTA,COROLLA SPORT 2020,Osaka - Japan,6AA-ZWE211H,2020/2,AT,Red,2WD,5,RHD,,,Hatchback,"1,800cc","38,000km",HYBRID(PETROL),9100,10759
TOYOTA,HILUX SURF,Osaka - Japan,CBA-TRN215W,2008/3,AT,Black,4WD,5,RHD,,,SUV,"2,700cc","114,000km",PETROL,8910,11064
TOYOTA,HARRIER,Hakata - Japan,CBA-ACU30W,2011/8,AT,Pearl,2WD,5,RHD,,,SUV,"2,400cc","111,000km",PETROL,8910,10897
TOYOTA,HARRIER,Kobe - Japan,CBA-ACU30W,2011/9,AT,Pearl,2WD,5,RHD,5,2AZ,SUV,"2,360cc","125,000km",PETROL,8900,10887
MITSUBISHI,FIGHTER,Osaka - Japan,KK-FK71HJ,2000/3,6MT,White,2WD,2,RHD,,,Truck,"8,200cc","575,000km",DIESEL,8830,16804
TOYOTA,COROLLA TOURING 2022,Yokohama - Japan,3BA-ZRE212W,2022/7,AT,Silver,2WD,5,RHD,5,2ZR,Station Wagon,"1,790cc","85,000km",PETROL,8780,10436
MAZDA,CX8 2018,Kobe - Japan,DBA-SJ5,2017/2,AT,Black,4WD,5,RHD,,,SUV,"2,000cc","65,000km",PETROL,8780,10761
TOYOTA,DYNA,Osaka - Japan,KC-BU102D,1996/7,MT,White,2WD,2,RHD,3,15B,Truck,"4,100cc","64,000km",DIESEL,8690,10730
MAZDA,CX8 2018,Hakata - Japan,DBA-SJ5,2017/7,AT,Silver,4WD,5,RHD,5,FB20,SUV,"1,990cc","122,000km",PETROL,8680,10660
NISSAN,NV150 AD 2020,Hakata - Japan,LDF-VW2E26,2020/1,5MT,White,2WD,5,RHD,3[6],YD25,Van,"2,480cc","287,000km",DIESEL,8620,10663
SUBARU,FORESTER,Yokohama - Japan,DBA-SJ5,2016/2,AT,Pearl,4WD,5,RHD,5,FB20,SUV,"1,990cc","83,000km",PETROL,8620,10599
TOYOTA,HILUX SPORTS PICK UP,Yokohama - Japan,GC-RZN169H,2003/8,AT,Beige,4WD,4,RHD,5,3RZ,Pick up,"2,690cc","150,000km",PETROL,8580,10838
SUBARU,FORESTER,Kobe - Japan,DBA-SJ5,2016/2,AT,Silver,4WD,5,RHD,,,SUV,"2,000cc","120,000km",PETROL,8530,10507
TOYOTA,COROLLA SPORT 2022,Osaka - Japan,6AA-MXPK10,2022/2,AT,White,2WD,5,RHD,,,Hatchback,"1,500cc","36,000km",HYBRID(PETROL),8480,10021
HONDA,VEZEL,Nagoya - Japan,DBA-RU1,2015,AT,Red,2WD,5,RHD,5,,SUV,"1,496cc","90,000km",PETROL,8390,10147
MITSUBISHI,CANTER TRUCK,Osaka - Japan,KC-FE516B,1996/9,MT,White,2WD,2,RHD,,,Truck,"3,600cc","110,000km",DIESEL,8390,10427
TOYOTA,HIACE WAGON,Osaka - Japan,CBA-TRH214W,2012/4,AT,Silver,2WD,4,RHD,10,2TR,Wagon,"2,690cc","224,000km",PETROL,8300,10767
TOYOTA,VOXY,Nagoya - Japan,DBA-ZRR80G,2016/4,AT,Pearl,2WD,5,RHD,,,Wagon,"2,000cc","132,000km",PETROL,8260,10235
NISSAN,NV350CARAVAN,Kobe - Japan,CBF-VR2E26,2016/5,AT,White,2WD,5,RHD,,,Van,"2,000cc","156,000km",PETROL,8250,10287
TOYOTA,VOXY,Yokohama - Japan,DBA-ZRR80W,2015/9,AT,Black,2WD,5,RHD,,,Wagon,"2,000cc","120,000km",PETROL,8210,10188
NISSAN,NV350CARAVAN 2018,Yokohama - Japan,CBF-VR2E26,2017/4,AT,Black,2WD,5,RHD,,,Van,"2,000cc","216,000km",PETROL,8150,10185
NISSAN,NV350CARAVAN,Hakata - Japan,CBF-VR2E26,2016/1,5MT,Black,2WD,5,RHD,3[6],QR20,Van,"1,990cc","144,000km",PETROL,8120,10154
MITSUBISHI,CANTER TRUCK,Yokohama - Japan,PA-FE82DE,2006/7,MT,White,2WD,2,RHD,,,Truck,"4,890cc","440,000km",DIESEL,8030,11207
MAZDA,CX8 2018,Kobe - Japan,DBA-SJ5,2017/2,AT,Blue(D),4WD,5,RHD,,,SUV,"2,000cc","115,000km",PETROL,7990,9959
HINO,DUTRO,Osaka - Japan,KK-XZU412M,2004/1,MT,Silver,2WD,2,RHD,3,S05C,Truck,"4,610cc","72,000km",DIESEL,7960,12893
TOYOTA,HARRIER,Yokohama - Japan,CBA-ACU30W,2011/11,AT,Black,2WD,5,RHD,,,SUV,"2,400cc","99,000km",PETROL,7950,9922
SUBARU,FORESTER,Kobe - Japan,DBA-SJ5,2016/1,AT,Orange,4WD,5,RHD,5,FB20,SUV,"1,990cc","99,000km",PETROL,7910,9878
TOYOTA,PREMIO,Hakata - Japan,DBA-NZT260,2014/2,AT,Silver,2WD,4,RHD,,,Sedan,"1,500cc","45,000km",PETROL,7910,9555
NISSAN,NOTE 2018,Osaka - Japan,DBA-AUCPT,2017/9,AT,White,2WD,5,RHD,,,Hatchback,"1,400cc","117,000km",PETROL,7880,9524
TOYOTA,PASSO 2021,Osaka - Japan,6AA-MXPH10,2021/2,AT,Black,2WD,5,RHD,,,Hatchback,"1,500cc","149,000km",HYBRID(PETROL),7860,9293
SUBARU,XV 2019,Osaka - Japan,DBA-GT3,2019/6,AT,Black,4WD,5,RHD,5,FB16,SUV,"1,590cc","52,000km",PETROL,7840,9593
MITSUBISHI,CANTER TRUCK,Osaka - Japan,PA-FE82DE,2006/4,MT,Green,2WD,2,RHD,,,Truck,"4,890cc","509,000km",DIESEL,7830,11433
SUBARU,FORESTER,Kobe - Japan,DBA-SJ5,2016/3,AT,Red,4WD,5,RHD,,,SUV,"2,000cc","84,000km",PETROL,7820,9787
NISSAN,NOTE 2020,Hakata - Japan,6AA-E13,2021/10,AT,Silver,2WD,5,RHD,5,HR12-EM47,Hatchback,"1,190cc","90,000km",HYBRID(PETROL),7800,9335
SUBARU,FORESTER,Kobe - Japan,DBA-SJ5,2016/1,AT,Black,4WD,5,RHD,,,SUV,"2,000cc","101,000km",PETROL,7800,9766
MITSUBISHI,CANTER TRUCK,Yokohama - Japan,KC-FE516BC,1996/9,MT,Blue,2WD,2,RHD,3,4D36,Truck,"3,560cc","179,000km",DIESEL,7760,9789
NISSAN,NV350CARAVAN 2019,Yokohama - Japan,CBF-VR2E26,2019/12,AT,Silver,2WD,5,RHD,3[6],QR20,Van,"1,990cc","190,000km",PETROL,7760,9789
SUBARU,FORESTER,Hakata - Japan,DBA-SJ5,2016/8,AT,Orange,4WD,5,RHD,,,SUV,"2,000cc","132,000km",PETROL,7670,9634
NISSAN,NV350CARAVAN,Kobe - Japan,LDF-VW6E26,2016/3,AT,White,4WD,5,RHD,,,Van,"2,500cc","258,000km",DIESEL,7650,9677
NISSAN,NV350CARAVAN 2018,Yokohama - Japan,CBF-VR2E26,2017/3,AT,White,2WD,5,RHD,3[6],QR20,Van,"1,990cc","128,000km",PETROL,7560,9585
HINO,DUTRO,Hakata - Japan,KK-XZU322T,2001/12,MT,Yellow,2WD,2,RHD,,,Truck,"4,600cc","183,000km",DIESEL,7550,9575
NISSAN,SERENA 2019,Yokohama - Japan,DAA-GFC27,2019/9,AT,Blue,2WD,5,RHD,,,Mini Van,"2,000cc","96,000km",HYBRID(PETROL),7540,9562
TOYOTA,TOYOACE TRUCK,Yokohama - Japan,TKG-XZC605,2016/7,MT,White,2WD,2,RHD,,,Truck,"4,000cc","210,000km",DIESEL,7520,9545
TOYOTA,AQUA 2020,Yokohama - Japan,5BA-MXPA10,2020/3,AT,Blue,2WD,5,RHD,,,Hatchback,"1,500cc","44,000km",PETROL,7510,8939
MITSUBISHI,CANTER TRUCK,Osaka - Japan,KK-FE70CB,2003/9,MT,White,2WD,2,RHD,,,Truck,"4,200cc","237,000km",DIESEL,7490,9514
TOYOTA,DYNA,Yokohama - Japan,BDG-XZU344,2008/2,MT,White,2WD,2,RHD,,,Truck,"4,000cc","352,000km",DIESEL,7380,11978
SUBARU,FORESTER,Yokohama - Japan,DBA-SJ5,2016/11,AT,Blue(D),4WD,5,RHD,,,SUV,"1,995cc","61,000km",PETROL,7350,9310
TOYOTA,PASSO 2021,Hakata - Japan,6AA-MXPH10,2021/6,AT,Blue,2WD,5,RHD,,,Hatchback,"1,500cc","90,000km",HYBRID(PETROL),7300,8727
TOYOTA,REGIUSACE VAN,Kobe - Japan,KG-LH172V,2001/8,AT,Gray,2WD,4,RHD,2,5L,Van,"2,980cc","279,000km",DIESEL,7250,9269
HONDA,VEZEL,Hakata - Japan,DAA-RU3,2015/8,AT,Black,2WD,5,RHD,5,LEB-H1,SUV,"1,490cc","99,000km",HYBRID(PETROL),7240,8984
TOYOTA,COROLLA AXIO 2019,Yokohama - Japan,DBA-NZE164,2019/12,AT,White,4WD,4,RHD,,,Sedan,"1,500cc","15,000km",PETROL,7220,8753
HONDA,SHUTTLE 2019,Hakata - Japan,6AA-GP7,2020/5,AT,Pearl,2WD,5,RHD,,,Station Wagon,"1,500cc","85,000km",HYBRID(PETROL),7200,8837
NISSAN,NV350CARAVAN 2021,Kobe - Japan,CBF-VNM20,2021/2,AT,White,4WD,5,RHD,,,Van,"1,600cc","177,000km",PETROL,7180,9036
TOYOTA,COROLLA FIELDER 2020,Yokohama - Japan,DAA-NKE165G,2020/1,AT,White,2WD,5,RHD,,,Station Wagon,"1,500cc","108,000km",HYBRID(PETROL),7150,8784
TOYOTA,COROLLA AXIO 2019,Yokohama - Japan,DBA-NZE164,2019/7,AT,White,4WD,4,RHD,,,Sedan,"1,500cc","75,000km",PETROL,7150,8682
TOYOTA,PREMIO,Hakata - Japan,DBA-NZT260,2012/2,AT,Wine,2WD,4,RHD,,,Sedan,"1,500cc","42,000km",PETROL,6960,8594
NISSAN,XTRAIL,Hakata - Japan,DBA-NT32,2016/1,AT,Red,4WD,5,RHD,,,SUV,"2,000cc","127,000km",PETROL,6960,8916
TOYOTA,TOYOACE TRUCK,Yokohama - Japan,TKG-XZU605,2013/2,MT,White,2WD,2,RHD,,,Truck,"4,000cc","365,000km",DIESEL,6920,8934
TOYOTA,COROLLA AXIO 2019,Nagoya - Japan,DAA-NKE165,2019/7,AT,Pearl,2WD,4,RHD,5,1NZ-1LM,Sedan,"1,490cc","59,000km",HYBRID(PETROL),6890,8419
MAZDA,TITAN,Osaka - Japan,U-WGLAT,1994/12,MT,White,2WD,2,RHD,3,SL,Truck,"3,450cc","146,000km",DIESEL,6890,8903
HINO,DUTRO,Yokohama - Japan,KK-XZU402M,2003/11,MT,White,2WD,2,RHD,,,Truck,"4,610cc","326,000km",DIESEL,6850,9613
NISSAN,NOTE 2018,Osaka - Japan,DBA-NSP130,2017/9,AT,Blue,2WD,5,RHD,5,1NR,Hatchback,"1,320cc","25,000km",PETROL,6760,8181
TOYOTA,COROLLA AXIO 2019,Yokohama - Japan,DBA-NZE164,2019/5,AT,White,4WD,4,RHD,,,Sedan,"1,500cc","70,000km",PETROL,6740,8267
TOYOTA,VOXY,Kobe - Japan,DBA-ZRR80G,2015/6,AT,Pearl,2WD,5,RHD,,,Wagon,"2,000cc","172,000km",PETROL,6670,8621
AUDI,Q3,Yokohama - Japan,ABA-8UCHP,2014/9,AT,Orange,2WD,5,RHD,,,SUV,"1,400cc","108,000km",PETROL,6650,8390
TOYOTA,PASSO 2021,Nagoya - Japan,6AA-NHP10,2021/4,AT,Brown,2WD,5,RHD,5,1NZ-1LM,Hatchback,"1,490cc","80,000km",HYBRID(PETROL),6570,7989
HINO,DUTRO,Yokohama - Japan,PB-XZU414M,2006/8,6MT,Yellow,2WD,2,RHD,,,Truck,"4,000cc","283,000km",DIESEL,6550,14069
HONDA,ACCORD HYBRID,Yokohama - Japan,DAA-CR6,2016/3,AT,Pearl,2WD,4,RHD,5,LFA-MF8,Sedan,"1,990cc","170,000km",HYBRID(PETROL),6480,8320
MITSUBISHI,CANTER TRUCK,Osaka - Japan,KK-FE82EE,2003/3,MT,White,2WD,2,RHD,,,Truck,"5,200cc","519,000km",DIESEL,6420,9973
MAZDA,CX5,Kobe - Japan,LDA-KE2FW,2016/4,AT,Pearl,2WD,5,RHD,,,SUV,"2,200cc","84,000km",DIESEL,6400,8345
HINO,DUTRO,Hakata - Japan,PB-XZU301M,2004/7,MT,White,2WD,2,RHD,,,Truck,"4,900cc","325,000km",DIESEL,6390,8396
TOYOTA,DYNA,Yokohama - Japan,BDG-XZU308,2008/5,MT,White,2WD,2,RHD,3,N04C,Truck,"4,000cc","161,000km",DIESEL,6360,8365
SUBARU,IMPREZA SPORT 2018,Nagoya - Japan,DBA-GT6,2018/2,AT,Pearl,2WD,5,RHD,5,FB20,Hatchback,"1,990cc","86,000km",PETROL,6360,7988
TOYOTA,PASSO 2021,Yokohama - Japan,6AA-NHP10,2021/2,AT,Silver,2WD,5,RHD,,,Hatchback,"1,500cc","69,000km",HYBRID(PETROL),6340,7757
TOYOTA,COROLLA FIELDER 2019,Nagoya - Japan,DAA-NKE165G,2020/7,AT,Silver,2WD,5,RHD,5,1NZ-1LM,Station Wagon,"1,490cc","249,000km",HYBRID(PETROL),6280,7904
TOYOTA,VANGUARD,Hakata - Japan,DBA-ACA38W,2011,AT,Wine,2WD,5,RHD,,,SUV,"2,400cc","87,000km",PETROL,6280,8224
MAZDA,CX3,Osaka - Japan,LDA-DK5AW,2016/2,AT,Red,4WD,5,RHD,,,SUV,"1,500cc","146,000km",DIESEL,6260,7887
NISSAN,CIVILIAN,Osaka - Japan,PDG-EVW41,2011/8,MT,Red,2WD,3,RHD,,,Bus,"3,000cc","156,000km",DIESEL,6190,12011
TOYOTA,PASSO 2021,Yokohama - Japan,6AA-NHP10,2021/2,AT,Pearl,2WD,5,RHD,,,Hatchback,"1,500cc","123,000km",HYBRID(PETROL),6120,7535
HINO,DUTRO,Osaka - Japan,KK-XZU337M,2003/6,MT,White,2WD,2,RHD,,,Truck,"4,600cc","544,000km",DIESEL,6120,8440
NISSAN,XTRAIL,Yokohama - Japan,DBA-NT32,2016/9,AT,Black,4WD,5,RHD,5,MR20,SUV,"1,990cc","75,000km",PETROL,6110,8053
HONDA,SHUTTLE 2019,Yokohama - Japan,DAA-GP7,2019/2,AT,Silver,2WD,5,RHD,,,Station Wagon,"1,500cc","55,000km",HYBRID(PETROL),6110,7733
TOYOTA,PASSO 2021,Yokohama - Japan,6AA-MXPH10,2021/6,AT,Silver,2WD,5,RHD,,,Hatchback,"1,490cc","94,000km",HYBRID(PETROL),6110,7524
HONDA,GRACE 2018,Yokohama - Japan,DAA-GM4,2017/7,AT,Silver,2WD,4,RHD,,,Sedan,"1,500cc","56,000km",HYBRID(PETROL),6100,7721
MITSUBISHI,CANTER TRUCK,Yokohama - Japan,PDG-FE72D,2007/8,MT,White,2WD,2,RHD,,,Truck,"4,890cc","443,000km",DIESEL,6100,9006
TOYOTA,PREMIO,Yokohama - Japan,DBA-ZRT260,2012/10,AT,Pearl,2WD,4,RHD,,,Sedan,"1,800cc","94,000km",PETROL,6100,7723
HONDA,SHUTTLE 2019,Yokohama - Japan,DAA-GP7,2019/2,AT,Silver,2WD,5,RHD,,,Station Wagon,"1,500cc","46,000km",HYBRID(PETROL),6040,7663
TOYOTA,VANGUARD,Osaka - Japan,DBA-ACA33W,2012/3,AT,GREEN(D),4WD,5,RHD,5,2AZ,SUV,"2,360cc","101,000km",PETROL,6030,7970
TOYOTA,VANGUARD,Yokohama - Japan,DBA-ACA38W,2010/3,AT,Blue(D),2WD,5,RHD,5,,SUV,"2,400cc","33,000km",PETROL,6030,7970
NISSAN,NV200VANETTE VAN 2019,Yokohama - Japan,DBF-VM20,2019/2,AT,White,2WD,5,RHD,,,Van,"1,600cc","144,000km",PETROL,6010,7847
TOYOTA,ALLION,Nagoya - Japan,DBA-NZT260,2012/3,AT,Silver,2WD,4,RHD,5,1NZ,Sedan,"1,490cc","131,000km",PETROL,6010,7631
TOYOTA,DYNA,Yokohama - Japan,BKG-XZU504,2008/11,MT,White,2WD,2,RHD,,,Truck,"4,000cc","189,000km",DIESEL,6000,7999
TOYOTA,HARRIER,Yokohama - Japan,CBA-ACU30W,2009/5,AT,Pearl,2WD,5,RHD,5,2AZ,SUV,"2,360cc","133,000km",PETROL,5980,7922
TOYOTA,VANGUARD,Yokohama - Japan,DBA-ACA33W,2008/4,AT,Black,4WD,5,RHD,,,SUV,"2,400cc","83,000km",PETROL,5980,7920
TOYOTA,TOYOACE TRUCK,Osaka - Japan,KR-KDY280,2005/11,AT,White,4WD,2,RHD,,,Truck,"2,490cc","346,000km",DIESEL,5960,7958
BMW,3 SERIES,Yokohama - Japan,LDA-3D20,2015/2,AT,Black,2WD,4,RHD,,,Sedan,"2,000cc","136,000km",DIESEL,5950,7575
TOYOTA,DYNA,Yokohama - Japan,PB-XZU346,2005/4,MT,White,2WD,2,RHD,,,Truck,"4,890cc","174,000km",DIESEL,5940,10654
TOYOTA,SUCCEED VAN 2019,Kobe - Japan,DBE-NCP160V,2019/2,AT,White,2WD,5,RHD,2[5],1NZ,Van,"1,490cc","57,000km",PETROL,5920,7438
TOYOTA,VANGUARD,Yokohama - Japan,DBA-ACA33W,2011/9,AT,Black,4WD,5,RHD,,,SUV,"2,360cc","162,000km",PETROL,5920,7859
HONDA,SHUTTLE 2018,Yokohama - Japan,DAA-GP8,2019/1,AT,White,4WD,5,RHD,5,LEB-H1,Station Wagon,"1,490cc","145,000km",HYBRID(PETROL),5900,7522
TOYOTA,VANGUARD,Osaka - Japan,DBA-ACA38W,2009/3,AT,Silver,2WD,5,RHD,,,SUV,"2,400cc","73,000km",PETROL,5890,7828
TOYOTA,PREMIO,Hakata - Japan,DBA-NZT260,2010/3,AT,Pearl,2WD,4,RHD,5,1NZ,Sedan,"1,490cc","42,000km",PETROL,5890,7511
DAIHATSU,DELTA TRUCK,Yokohama - Japan,KK-BU306N,1999/10,MT,White,2WD,2,RHD,,,Truck,"3,660cc","433,000km",DIESEL,5890,7885
FORD,EXPLORER,Osaka - Japan,ABA-1FMHK8,2011/12,AT,Black,4WD,5,LHD,7,8,SUV,"3,490cc","200,000km",PETROL,5880,8092
NISSAN,NOTE 2020,Osaka - Japan,DAA-HE12,2020/9,AT,Silver,2WD,5,RHD,,,Hatchback,"1,200cc","62,000km",HYBRID(PETROL),5860,7376
TOYOTA,VANGUARD,Yokohama - Japan,DBA-ACA33W,2008/2,AT,Black,4WD,5,RHD,7,2AZ,SUV,"2,360cc","139,000km",PETROL,5850,7788
TOYOTA,PASSO 2021,Yokohama - Japan,6AA-MXPH10,2021/6,AT,Silver,2WD,5,RHD,,,Hatchback,"1,490cc","102,000km",HYBRID(PETROL),5850,7262
TOYOTA,REGIUSACE VAN,Osaka - Japan,TC-TRH112V,2003/9,AT,White,2WD,5,RHD,3[6],1TR,Van,"1,990cc","233,000km",PETROL,5830,7826
TOYOTA,REGIUSACE VAN,Osaka - Japan,ADF-KDH201V,2009/9,AT,Silver,2WD,5,RHD,6,,Van,"2,982cc","336,000km",DIESEL,5820,7816
TOYOTA,COROLLA AXIO,Hakata - Japan,DBA-NRE161,2015/6,AT,Pearl,2WD,4,RHD,5,2NR,Sedan,"1,490cc","80,000km",PETROL,5810,7326
TOYOTA,HIACE VAN,Yokohama - Japan,U-LH113V,1991/8,AT,WHITE2,2WD,4,RHD,2[5],3L,Van,"2,770cc","285,000km",DIESEL,5760,7755
TOYOTA,SUCCEED VAN 2020,Yokohama - Japan,DBE-NCP160V,2020/2,AT,White,2WD,5,RHD,,,Van,"1,500cc","82,000km",PETROL,5760,7276
TOYOTA,VANGUARD,Hakata - Japan,DBA-ACA33W,2010/11,AT,Black,4WD,5,RHD,,,SUV,"2,400cc","82,000km",PETROL,5750,7686
TOYOTA,COROLLA AXIO,Yokohama - Japan,DAA-NKE165,2015/6,AT,Brown,2WD,4,RHD,,,Sedan,"1,500cc","37,000km",HYBRID(PETROL),5750,7266
TOYOTA,VITZ 2019,Hakata - Japan,DBA-KSP130,2019/11,AT,GRAY(D),2WD,5,RHD,5,1KR,Hatchback,990cc,"63,000km",PETROL,5720,7130
TOYOTA,ALLION,Hakata - Japan,DBA-NZT260,2010/4,AT,Silver,2WD,4,RHD,,,Sedan,"1,500cc","134,000km",PETROL,5700,7318
NISSAN,XTRAIL,Yokohama - Japan,DBA-NT32,2016/2,AT,Black,4WD,5,RHD,5,MR20,SUV,"1,990cc","108,000km",PETROL,5700,7636
TOYOTA,PASSO 2021,Yokohama - Japan,6AA-MXPH10,2021/6,AT,Silver,2WD,5,RHD,,,Hatchback,"1,500cc","120,000km",HYBRID(PETROL),5700,7110
TOYOTA,LAND CRUISER PRADO,Nagoya - Japan,GF-RZJ95W,2002/6,AT,Silver,4WD,5,RHD,8,3RZ,SUV,"2,690cc","211,000km",PETROL,5690,7789
ISUZU,ELF TRUCK,Yokohama - Japan,U-NKR58EA,1990,MT,White,2WD,2,RHD,,,Truck,"3,600cc","251,000km",DIESEL,5690,7684
