stock_id,make,model,inventory_location,model_code,year,transmission,color,drive,doors,steering,seats,engine_type,body_type,engine_size,mileage,fuel,fob_price,total_price
UQ1622,TOYOTA,PREMIO,Kobe - Japan,DBA-NZT260,2010/3,AT,Wine,2WD,4,RHD,5,1NZ,Sedan,"1,490cc","223,000km",PETROL,5310,6924
DM7671,TOYOTA,AURIS,Osaka - Japan,DBA-NZE181H,2014/8,AT,Silver,2WD,5,RHD,5,1NZ,Hatchback,"1,490cc","78,000km",PETROL,5300,6913
ZE8852,TOYOTA,COROLLA AXIO,Yokohama - Japan,DBA-NRE161,2015/9,AT,White,2WD,4,RHD,5,2NR,Sedan,"1,490cc","124,000km",PETROL,5300,6810
LT8921,TOYOTA,VANGUARD,Yokohama - Japan,DBA-ACA33W,2012/2,AT,Black,4WD,5,RHD,5,2AZ,SUV,"2,360cc","175,000km",PETROL,5290,7219
WG2055,NISSAN,XTRAIL,Nagoya - Japan,DAA-HNT32,2015/6,AT,Pearl,4WD,5,RHD,5,MR20-RM31,SUV,"1,990cc","140,000km",HYBRID(PETROL),5290,7220
WX1875,MAZDA,CX5,Nagoya - Japan,LDA-KE2AW,2015/1,AT,GRAY(D),4WD,5,RHD,5,SH,SUV,"2,180cc","147,000km",DIESEL,5290,7219
UM9201,HONDA,SHUTTLE 2019,Hakata - Japan,6AA-GP7,2019/11,AT,Silver,2WD,5,RHD,5,LEB-H1,Station Wagon,"1,490cc","76,000km",HYBRID(PETROL),5280,6893
YF8534,TOYOTA,VANGUARD,Yokohama - Japan,DBA-ACA38W,2014/5,AT,Black,2WD,5,RHD,5,2AZ,SUV,"2,360cc","162,000km",PETROL,5280,7209
PS6274,TOYOTA,RAV4,Nagoya - Japan,DBA-ACA31W,2010/2,AT,Red,4WD,5,RHD,5,2AZ,SUV,"2,360cc","64,000km",PETROL,5280,7105
BZ1233,TOYOTA,SUCCEED VAN HYBRID 2019,Yokohama - Japan,6AE-NHP160V,2020/1,AT,PURPLE(D),2WD,5,RHD,2[5],1NZ-1LM,Van,"1,490cc","197,000km",HYBRID(PETROL),5280,6790
BW8001,TOYOTA,RAV4,Yokohama - Japan,DBA-ACA31W,2007/1,AT,Pearl,4WD,5,RHD,5,2AZ,SUV,"2,360cc","127,000km",PETROL,5280,7105
LY9721,TOYOTA,AURIS,Nagoya - Japan,DBA-NZE181H,2013/2,AT,Red,2WD,5,RHD,5,1NZ,Hatchback,"1,490cc","62,000km",PETROL,5280,6893
GX3652,TOYOTA,PROBOX VAN 2020,Nagoya - Japan,DBE-NSP160V,2020/5,AT,White,2WD,5,RHD,2[5],1NR,Van,"1,320cc","128,000km",PETROL,5280,6790
OG7693,MAZDA,CX5,Kobe - Japan,LDA-KE2AW,2015/1,AT,Pearl,4WD,5,RHD,5,SH,SUV,"2,180cc","106,000km",DIESEL,5260,7188
TJ3592,TOYOTA,PREMIO,Yokohama - Japan,DBA-NZT260,2008/11,AT,Silver,2WD,4,RHD,5,1NZ,Sedan,"1,490cc","17,000km",PETROL,5260,6873
QT0801,TOYOTA,RUSH,Yokohama - Japan,ABA-J210E,2015/10,AT,Pearl,4WD,5,RHD,5,3SZ,SUV,"1,490cc","156,000km",PETROL,5240,6853
ZD4256,TOYOTA,PROBOX VAN HYBRID 2020,Kobe - Japan,6AE-NHP160V,2020/1,AT,White,2WD,5,RHD,2[5],1NZ-1LM,Van,"1,490cc","150,000km",HYBRID(PETROL),5240,6750
GG0469,TOYOTA,PROBOX VAN 2019,Nagoya - Japan,DBE-NSP160V,2019/1,AT,White,2WD,5,RHD,2[5],1NR,Van,"1,320cc","107,000km",PETROL,5240,6750
JA1094,TOYOTA,PROBOX VAN 2019,Nagoya - Japan,DBE-NSP160V,2019/1,AT,White,2WD,5,RHD,2[5],1NR,Van,"1,320cc","102,000km",PETROL,5240,6750
RK5419,TOYOTA,PROBOX VAN 2019,Nagoya - Japan,DBE-NSP160V,2019/1,AT,White,2WD,5,RHD,2[5],1NR,Van,"1,320cc","110,000km",PETROL,5240,6750
DC1244,TOYOTA,PROBOX VAN HYBRID 2021,Nagoya - Japan,6AE-NHP160V,2021/1,AT,White,2WD,5,RHD,2[5],1NZ-1NZ,Van,"1,490cc","169,000km",HYBRID(PETROL),5240,6750
SA5766,TOYOTA,PROBOX VAN 2020,Nagoya - Japan,DBE-NCP165V,2020/1,AT,White,4WD,5,RHD,2[5],1NZ,Station Wagon,"1,490cc","75,000km",PETROL,5240,6750
ZW1862,TOYOTA,AURIS,Yokohama - Japan,DBA-NZE184H,2016/7,AT,Black,4WD,5,RHD,5,1NZ,Hatchback,"1,490cc","173,000km",PETROL,5240,6851
JO5430,TOYOTA,PROBOX VAN 2020,Nagoya - Japan,DBE-NSP160V,2020/1,AT,White,2WD,5,RHD,2[5],1NR,Van,"1,320cc","132,000km",PETROL,5240,6750
TH5605,TOYOTA,RAV4,Yokohama - Japan,DBA-ACA31W,2007/7,AT,Pearl,4WD,5,RHD,5,2AZ,SUV,"2,360cc","150,000km",PETROL,5240,7065
RV9890,TOYOTA,DYNA,Nagoya - Japan,KR-KDY230,2006/1,MT,White,2WD,2,RHD,3,2KD,Truck,"2,490cc","366,000km",DIESEL,5240,7226
UX4818,TOYOTA,PROBOX VAN 2020,Kobe - Japan,DBE-NSP160V,2020/1,AT,Silver,2WD,5,RHD,2[5],1NR,Van,"1,320cc","128,000km",PETROL,5240,6750
IB9482,AUDI,Q5,Kobe - Japan,ABA-8RCDNF,2012/1,AT,White,4WD,5,RHD,5,CDN,SUV,"1,980cc","91,000km",PETROL,5240,7171
DB5157,MITSUBISHI,RVR,Yokohama - Japan,DBA-GA4W,2014/3,AT,Pearl,2WD,5,RHD,5,4J10,SUV,"1,790cc","42,000km",PETROL,5230,6948
EB4797,TOYOTA,COROLLA AXIO,Nagoya - Japan,DBA-NRE161,2015/9,AT,White,2WD,4,RHD,5,2NR,Sedan,"1,490cc","176,000km",PETROL,5230,6740
WF2499,TOYOTA,ALLION,Yokohama - Japan,DBA-ZRT260,2010/7,AT,Silver,2WD,4,RHD,5,2ZR,Sedan,"1,790cc","32,000km",PETROL,5230,6842
XH1796,TOYOTA,AQUA 2020,Kobe - Japan,DAA-NHP10,2020/2,AT,Black,2WD,5,RHD,5,1NZ-1LM,Hatchback,"1,490cc","184,000km",HYBRID(PETROL),5230,6635
AU3490,TOYOTA,COROLLA FIELDER,Yokohama - Japan,DBA-NZE161G,2013/10,AT,PURPLE(D),2WD,5,RHD,5,1NZ,Station Wagon,"1,490cc","28,000km",PETROL,5220,6729
SZ9828,MITSUBISHI,CANTER TRUCK,Yokohama - Japan,TKG-FEA50,2014/3,DUONIC,White,2WD,2,RHD,3,4P10,Truck,"2,990cc","456,000km",DIESEL,5220,7207
VA0193,TOYOTA,AURIS,Kobe - Japan,DBA-ZRE186H,2012/11,MT,Black,2WD,5,RHD,5,2ZR,Hatchback,"1,790cc","92,000km",PETROL,5220,6730
WI4097,HINO,DUTRO HYBRID,Osaka - Japan,SJG-XKU710M,2011/11,PROSHIFT,Yellow,2WD,2,RHD,2,N04C-H1,Truck,"4,000cc","162,000km",HYBRID(DIESEL),5220,8316
HS7269,HINO,DUTRO,Osaka - Japan,BDG-XZU414M,2007/1,6MT,White,2WD,2,RHD,3,N04C,Truck,"4,000cc","543,000km",DIESEL,5210,14113
SH8731,TOYOTA,ALLION,Hakata - Japan,DBA-NZT260,2009/11,AT,GRAY(D),2WD,5,RHD,5,1NZ,Sedan,"1,490cc","77,000km",PETROL,5210,6822
RJ4639,TOYOTA,PROBOX VAN 2020,Kobe - Japan,DBE-NSP160V,2020/1,AT,White,2WD,5,RHD,2[5],1NR,Van,"1,320cc","101,000km",PETROL,5210,6720
XL8616,TOYOTA,PROBOX VAN 2020,Yokohama - Japan,DBE-NSP160V,2020/1,AT,White,2WD,5,RHD,2[5],1NR,Van,"1,320cc","96,000km",PETROL,5210,6720
BY0237,TOYOTA,NOAH,Yokohama - Japan,DBA-ZRR70G,2012/8,AT,Gold,2WD,5,RHD,7,3ZR,Wagon,"1,980cc","64,000km",PETROL,5210,7139
RB4899,TOYOTA,AURIS,Yokohama - Japan,DBA-NZE181H,2014/1,AT,Black,2WD,5,RHD,5,1NZ,Hatchback,"1,490cc","79,000km",PETROL,5210,6822
FH9477,NISSAN,SERENA 2018,Hakata - Japan,DBA-C27,2018/2,AT,Silver,2WD,5,RHD,8,MR20,Mini Van,"1,990cc","193,000km",PETROL,5200,7131
FH9477,NISSAN,SERENA 2018,Hakata - Japan,DBA-C27,2018/2,AT,Silver,2WD,5,RHD,8,MR20,Mini Van,"1,990cc","193,000km",PETROL,5200,7131
GQ5431,HONDA,FIT 2018,Nagoya - Japan,DAA-ZVW50,2017/12,AT,Pearl,2WD,5,RHD,5,2ZR-1NM,Hatchback,"1,790cc","154,000km",HYBRID(PETROL),5200,6814
FO0643,NISSAN,XTRAIL,Hakata - Japan,DBA-T32,2015/12,AT,Black,2WD,5,RHD,5,MR20,SUV,"1,990cc","116,000km",PETROL,5200,7129
HX6586,TOYOTA,ALLION,Osaka - Japan,DBA-NZT260,2010/3,AT,Black,2WD,4,RHD,5,1NZ,Sedan,"1,490cc","149,000km",PETROL,5200,6812
OE3945,HONDA,VEZEL,Osaka - Japan,DAA-RU3,2013/12,AT,GRAY(D),2WD,5,RHD,5,LEB-H1,SUV,"1,490cc","116,000km",HYBRID(PETROL),5200,6918
EL2034,MAZDA,CX5,Yokohama - Japan,DBA-KEEAW,2012/6,AT,Black,4WD,5,RHD,5,PE,SUV,"1,990cc","141,000km",PETROL,5200,7128
PL5194,NISSAN,NV200VANETTE VAN 2020,Hakata - Japan,DBF-VM20,2020/2,AT,White,2WD,5,RHD,2,HR16,Van,"1,590cc","250,000km",PETROL,5200,7025
HB6335,HONDA,GRACE,Kobe - Japan,DAA-GM4,2016/9,AT,Black,2WD,4,RHD,,,Sedan,"1,500cc","166,000km",HYBRID(PETROL),5190,6800
JE2759,HINO,RANGER,Yokohama - Japan,TKG-FC9JKAA,2014/7,6MT,White,2WD,2,RHD,2,J05E,Truck,"5,120cc","891,000km",DIESEL,5180,18083
TG7606,HINO,RANGER,Yokohama - Japan,TKG-FC9JKAA,2014/7,6MT,White,2WD,2,RHD,2,J05E,Truck,"5,120cc","892,000km",DIESEL,5180,18083
FC4918,VOLKSWAGEN,POLO,Hakata - Japan,DBA-6RCJZW,2015/5,AT,Beige,2WD,5,RHD,5,CJZ,Hatchback,"1,190cc","105,000km",PETROL,5180,6685
HN2954,TOYOTA,VELLFIRE 2018,Osaka - Japan,DBA-NSP170G,2017/12,AT,Silver,2WD,5,RHD,7,2NR,Mini Van,"1,490cc","142,000km",PETROL,5180,6896
HA7578,TOYOTA,PROBOX VAN 2020,Nagoya - Japan,DBE-NSP160V,2020/2,AT,White,2WD,5,RHD,2[5],1NR,Van,"1,320cc","79,000km",PETROL,5170,6679
QN3267,NISSAN,XTRAIL,Yokohama - Japan,DBA-NT32,2014/2,AT,Blue(D),4WD,5,RHD,7,MR20,SUV,"1,990cc","109,000km",PETROL,5160,7089
VL9794,MAZDA,CX3,Hakata - Japan,LDA-DK5FW,2015/3,AT,Pearl,2WD,5,RHD,5,S5,SUV,"1,490cc","90,000km",DIESEL,5160,6773
BA8699,TOYOTA,PROBOX VAN 2019,Nagoya - Japan,DBE-NSP160V,2019/1,AT,White,2WD,5,RHD,2[5],1NR,Van,"1,320cc","121,000km",PETROL,5160,6669
OI8314,MAZDA,CX3,Kobe - Japan,LDA-DK5FW,2015/4,AT,Gray,2WD,5,RHD,5,S5,SUV,"1,490cc","84,000km",DIESEL,5160,6773
QT0620,HINO,DUTRO,Yokohama - Japan,KK-XZU346M,2004/3,MT,White,2WD,2,RHD,3,S05D,Truck,"4,890cc","660,000km",DIESEL,5160,8043
SR3842,TOYOTA,VITZ 2018,Osaka - Japan,DBA-NSP135,2019/7,AT,White,4WD,5,RHD,5,1NR,Hatchback,"1,320cc","43,000km",PETROL,5150,6655
MQ8835,NISSAN,NOTE 2020,Yokohama - Japan,DAA-HE12,2020/7,AT,Black,2WD,5,RHD,5,HR12-EM57,Hatchback,"1,190cc","110,000km",HYBRID(PETROL),5140,6648
LD1144,HONDA,CRV,Yokohama - Japan,DBA-RM4,2012/2,AT,PURPLE(D),4WD,5,RHD,5,K24A,SUV,"2,350cc","112,000km",PETROL,5140,6965
NF7079,BMW,3 SERIES,Yokohama - Japan,DBA-3X20,2014/5,AT,White,2WD,4,RHD,5,N20B20B,Sedan,"1,990cc","94,000km",PETROL,5140,6962
JQ7921,TOYOTA,TOYOACE 2018,Hakata - Japan,SKG-TZ3F24,2018/12,MT,White,2WD,2,RHD,3,ZD30,Truck,"2,950cc","266,000km",DIESEL,5140,7969
AK7402,MAZDA,CX3,Hakata - Japan,LDA-DK5FW,2015/3,AT,Blue(D),2WD,5,RHD,5,S5,SUV,"1,490cc","103,000km",DIESEL,5140,6753
XH1476,TOYOTA,HARRIER,Yokohama - Japan,CBA-ACU30W,2005/8,AT,Black,2WD,5,RHD,5,2AZ,SUV,"2,360cc","178,000km",PETROL,5140,7069
YI9624,TOYOTA,HARRIER,Osaka - Japan,CBA-ACU30W,2009/3,AT,Black,2WD,5,RHD,5,2AZ,SUV,"2,360cc","191,000km",PETROL,5140,7069
QD4844,TOYOTA,PROBOX VAN 2020,Yokohama - Japan,DBE-NSP160V,2020/2,AT,White,2WD,5,RHD,2[5],1NR,Van,"1,320cc","81,000km",PETROL,5140,6649
GZ7652,MITSUBISHI,CANTER TRUCK,Yokohama - Japan,KK-FG50EB,2002/1,MT,White,4WD,2,RHD,3,4M51,Truck,"5,240cc","148,000km",DIESEL,5140,7125
JY1194,TOYOTA,VANGUARD,Yokohama - Japan,DBA-ACA33W,2010/6,AT,Black,4WD,5,RHD,5,2AZ,SUV,"2,360cc","99,000km",PETROL,5130,7057
VS4872,HINO,DUTRO,Osaka - Japan,SKG-XZU605M,2012/2,MT,Blue,2WD,2,RHD,3,N04C,Truck,"4,000cc","248,000km",DIESEL,5130,7115
HA3383,TOYOTA,VITZ,Yokohama - Japan,DBA-NCP131,2016/2,5MT,Yellow,2WD,5,RHD,5,1NZ,Hatchback,"1,490cc","96,000km",PETROL,5130,6534
NJ0728,TOYOTA,COROLLA AXIO,Nagoya - Japan,DAA-NKE165,2015/9,AT,Beige,2WD,4,RHD,5,1NZ-1LM,Sedan,"1,490cc","134,000km",HYBRID(PETROL),5130,6638
BK5246,TOYOTA,PROBOX VAN 2020,Yokohama - Japan,DBE-NSP160V,2020/2,AT,White,2WD,5,RHD,2[5],1NR,Van,"1,320cc","89,000km",PETROL,5130,6639
QU2358,TOYOTA,HARRIER,Hakata - Japan,CBA-ACU30W,2007/4,AT,Pearl,2WD,5,RHD,5,2AZ,SUV,"2,360cc","153,000km",PETROL,5130,7059
RZ9960,NISSAN,NV200VANETTE VAN,Yokohama - Japan,DBF-VM20,2016/9,AT,White,2WD,5,RHD,2[5],HR16,Van,"1,590cc","166,000km",PETROL,5130,6954
QK3116,HONDA,VEZEL,Nagoya - Japan,DAA-RU3,2014/12,AT,GREEN(D),2WD,5,RHD,5,LEB-H1,SUV,"1,490cc","139,000km",HYBRID(PETROL),5130,6847
TY0970,TOYOTA,ALLION,Kobe - Japan,DBA-NZT260,2009/11,AT,Black,2WD,4,RHD,5,1NZ,Sedan,"1,490cc","56,000km",PETROL,5130,6741
MW1790,NISSAN,XTRAIL,Yokohama - Japan,DAA-HNT32,2015/6,AT,Black,4WD,5,RHD,5,MR20-RM31,SUV,"1,990cc","104,000km",HYBRID(PETROL),5120,7048
DT4814,TOYOTA,VANGUARD,Yokohama - Japan,DBA-ACA33W,2008/1,AT,Silver,4WD,5,RHD,5,2AZ,SUV,"2,360cc","118,000km",PETROL,5120,7047
JX5164,TOYOTA,86,Nagoya - Japan,DBA-ZN6,2013/1,6MT,Black,2WD,2,RHD,4,FA20,Coupe,"1,990cc","198,000km",PETROL,5120,6523
AJ4206,TOYOTA,VANGUARD,Yokohama - Japan,DBA-ACA38W,2011/7,AT,Black,2WD,5,RHD,5,2AZ,SUV,"2,360cc","66,000km",PETROL,5110,7037
BP0179,TOYOTA,REGIUSACE VAN,Nagoya - Japan,ADF-KDH201V,2008/3,AT,White,2WD,5,RHD,3[6],1KD,Van,"2,980cc","203,000km",DIESEL,5110,7094
IG6917,TOYOTA,ALLION,Hakata - Japan,DBA-NZT260,2009/9,AT,Black,2WD,4,RHD,5,1NZ,Sedan,"1,490cc","129,000km",PETROL,5110,6721
MJ7481,TOYOTA,VANGUARD,Nagoya - Japan,DBA-ACA33W,2007/12,AT,Black,4WD,5,RHD,5,2AZ,SUV,"2,360cc","140,000km",PETROL,5110,7037
US2503,HONDA,VEZEL,Yokohama - Japan,DAA-RU4,2014/11,AT,Pearl,4WD,5,RHD,5,LEB-H1,SUV,"1,490cc","150,000km",HYBRID(PETROL),5110,6827
DG0466,TOYOTA,COROLLA AXIO,Hakata - Japan,DAA-NKE165,2016/6,AT,Beige,2WD,4,RHD,5,1NZ-1LM,Sedan,"1,490cc","107,000km",HYBRID(PETROL),5110,6618
BF5976,SUBARU,FORESTER,Nagoya - Japan,DBA-SJ5,2014/9,AT,Blue(D),4WD,5,RHD,5,FB20,SUV,"1,990cc","85,000km",PETROL,5100,7026
XZ8572,SUBARU,FORESTER,Kobe - Japan,DBA-SJ5,2014/3,AT,Blue,4WD,5,RHD,5,FB20,SUV,"1,990cc","101,000km",PETROL,5100,7026
QN4302,TOYOTA,HARRIER,Hakata - Japan,CBA-ACU30W,2006/2,AT,Black,2WD,5,RHD,5,2AZ,SUV,"2,360cc","179,000km",PETROL,5100,7028
TK3183,MITSUBISHI,FIGHTER,Nagoya - Japan,TKG-FK71F,2013/10,6MT,White/Blue,2WD,2,RHD,2,6M60,Truck,"7,540cc","762,000km",DIESEL,5090,17831
UM4999,MAZDA,CX3,Yokohama - Japan,LDA-DK5AW,2015/12,6MT,Pearl,4WD,5,RHD,5,S5,SUV,"1,490cc","122,000km",DIESEL,5090,6702
MK7365,TOYOTA,HARRIER,Hakata - Japan,CBA-ACU35W,2009/11,AT,Black,4WD,5,RHD,5,2AZ,SUV,"2,360cc","182,000km",PETROL,5090,7018
WI6703,TOYOTA,PROBOX VAN 2020,Yokohama - Japan,DBE-NSP160V,2020/2,AT,White,2WD,5,RHD,2[5],1NR,Van,"1,320cc","111,000km",PETROL,5090,6598
JJ3680,TOYOTA,SUCCEED VAN 2019,Yokohama - Japan,DBE-NCP165V,2019/5,AT,White,4WD,5,RHD,2[5],1NZ,Van,"1,490cc","76,000km",PETROL,5090,6599
QU9794,TOYOTA,PROBOX VAN 2019,Yokohama - Japan,DBE-NCP165V,2019/1,AT,White,4WD,5,RHD,2[5],1NZ,Station Wagon,"1,490cc","142,000km",PETROL,5090,6599
LO5316,SUBARU,IMPREZA G4,Kobe - Japan,DBA-GJ7,2016/3,AT,GRAY(D),4WD,4,RHD,,,Sedan,"2,000cc","97,000km",PETROL,5090,6702
SY7390,TOYOTA,RAV4,Hakata - Japan,DBA-ACA36W,2007/9,AT,Black,2WD,5,RHD,5,2AZ,SUV,"2,360cc","144,000km",PETROL,5090,6910
PT7664,TOYOTA,CROWN HYBRID 2018,Yokohama - Japan,DBA-GK3,2019/12,AT,Silver,4WD,4,RHD,5,FB16,Sedan,"1,590cc","111,000km",PETROL,5080,6693
ES8690,SUBARU,FORESTER,Osaka - Japan,DBA-SJG,2014/8,AT,Black,4WD,5,RHD,5,FA20,SUV,"1,990cc","128,000km",PETROL,5080,7006
RZ6919,HONDA,SHUTTLE 2019,Kobe - Japan,6AA-GP8,2019/12,AT,Silver,4WD,5,RHD,5,LEB-H1,Station Wagon,"1,490cc","154,000km",HYBRID(PETROL),5080,6692
UA5047,MAZDA,CX5,Hakata - Japan,LDA-KE2FW,2015/1,AT,Pearl,2WD,5,RHD,5,SH,SUV,"2,180cc","158,000km",DIESEL,5080,7006
CG2678,TOYOTA,86,Kobe - Japan,DBA-ZN6,2014/8,AT,Pearl,2WD,2,RHD,4,FA20,Coupe,"1,990cc","146,000km",PETROL,5070,6473
QZ6167,TOYOTA,PREMIO,Yokohama - Japan,DBA-NZT260,2009/12,AT,Pearl,2WD,4,RHD,5,1NZ,Sedan,"1,490cc","93,000km",PETROL,5070,6681
QB4354,TOYOTA,HARRIER,Osaka - Japan,CBA-ACU30W,2007/11,AT,Black,2WD,5,RHD,5,2AZ,SUV,"2,360cc","172,000km",PETROL,5070,6998
AH3586,TOYOTA,VANGUARD,Osaka - Japan,DBA-ACA33W,2007/11,AT,Black,4WD,5,RHD,7,2AZ,SUV,"2,360cc","247,000km",PETROL,5070,6996
OP8653,TOYOTA,PREMIO,Hakata - Japan,DBA-NZT260,2008/8,AT,Pearl,2WD,4,RHD,5,1NZ,Sedan,"1,490cc","119,000km",PETROL,5070,6681
MU6695,MAZDA,CX5,Hakata - Japan,DBA-KEEFW,2012/3,AT,Black,2WD,5,RHD,5,PE,SUV,"1,990cc","135,000km",PETROL,5070,6996
XU4105,MAZDA,AXELA,Nagoya - Japan,DBA-BM5FP,2014/3,AT,Gray,2WD,4,RHD,5,P5,Sedan,"1,490cc","169,000km",PETROL,5070,6683
