Make,Model,Year,Mileage,Engine size,Fuel type,Transmission,Condition,Drive type,Horsepower,Torque,Acceleration,Body type,Seats,Price
MAZDA,CX5,2016/4,"130,000km","2,180cc",DIESEL,AT,,2WD,,,,SUV,5,8447
TOYOTA,COROLLA AXIO 2019,2019/11,"99,000km","1,490cc",PETROL,AT,,4WD,,,,Sedan,5,8024
TOYOTA,ESQUIRE,2015/4,"111,000km","1,790cc",HYBRID(PETROL),AT,,2WD,,,,Mini Van,7,8428
MAZDA,CX5,2016/3,"110,000km","2,180cc",DIESEL,AT,,2WD,,,,SUV,5,8427
HINO,DUTRO,2006/9,"415,000km","4,890cc",DIESEL,MT,,2WD,,,,Truck,3,8486
MITSUBISHI,CANTER TRUCK,2008/3,"315,000km","4,890cc",DIESEL,MT,,2WD,,,,Truck,3,9720
MAZDA,CX5,2016/8,"131,000km","2,180cc",DIESEL,AT,,4WD,,,,SUV,5,8427
TOYOTA,VANGUARD,2012/7,"95,000km","2,360cc",PETROL,AT,,2WD,,,,SUV,7,8427
TOYOTA,PREMIO,2011/2,"185,000km","1,490cc",PETROL,AT,,2WD,,,,Sedan,5,8098
TOYOTA,VANGUARD,2012/3,"191,000km","2,360cc",PETROL,AT,,2WD,,,,SUV,7,8407
MITSUBISHI,CANTER TRUCK 2017,2018/2,"201,000km","2,990cc",DIESEL,DUONIC,,2WD,,,,Truck,3,8466
TOYOTA,VANGUARD,2012/7,"115,000km","2,360cc",PETROL,AT,,4WD,,,,SUV,5,8407
HONDA,FIT 2018,2017/1,"78,000km","1,320cc",PETROL,AT,,2WD,,,,Hatchback,5,7878
HONDA,STEPWAGON,2015/11,"137,000km","1,490cc",PETROL,AT,,2WD,,,,Mini Van,7,8399
BMW,3 SERIES,2016/2,"74,000km","1,990cc",PETROL,AT,,2WD,,,,Station Wagon,5,8173
TOYOTA,VANGUARD,2012/9,"98,000km","2,360cc",PETROL,AT,,4WD,,,,SUV,7,8387
TOYOTA,AQUA 2020,2020/9,"75,000km","1,490cc",HYBRID(PETROL),AT,,2WD,,,,Hatchback,5,7848
NISSAN,XTRAIL,2016/4,"128,000km","1,990cc",PETROL,AT,,2WD,,,,SUV,7,8367
TOYOTA,AQUA 2020,2020/3,"96,000km","1,490cc",HYBRID(PETROL),AT,,2WD,,,,Hatchback,5,7838
HINO,DUTRO,2007/7,"469,000km","4,000cc",DIESEL,MT,,2WD,,,,Truck,3,9336
TOYOTA,NOAH,2015/10,"250,000km","1,790cc",HYBRID(PETROL),AT,,2WD,,,,Wagon,7,8367
HINO,RANGER,2016/9,"936,000km","6,400cc",DIESEL,6MT,,2WD,,,,Truck,2,14937
MITSUBISHI,CANTER TRUCK 2018,2018/5,"302,000km","2,990cc",DIESEL,MT,,2WD,,,,Truck,3,15045
TOYOTA,MARK X,2015/10,"61,000km","2,490cc",PETROL,AT,,2WD,,,,Sedan,5,8142
TOYOTA,VANGUARD,2012/7,"151,000km","2,360cc",PETROL,AT,,2WD,,,,SUV,7,8356
HINO,DUTRO,2006/6,"485,000km","4,890cc",DIESEL,MT,,2WD,,,,Truck,3,9537
MITSUBISHI,FIGHTER,2013/12,"1,375,000km","7,540cc",DIESEL,6MT,,2WD,,,,Truck,2,21092
HINO,DUTRO,2010/9,"312,000km","4,000cc",DIESEL,6MT,,2WD,,,,Truck,3,9516
HONDA,GRACE 2019,2019/11,"145,000km","1,490cc",HYBRID(PETROL),AT,,2WD,,,,Sedan,5,8004
BMW,X3,2015/5,"132,000km","1,990cc",DIESEL,AT,,4WD,,,,SUV,5,8329
TOYOTA,COROLLA TOURING 2019,2019/10,"170,000km","1,790cc",HYBRID(PETROL),AT,,2WD,,,,Station Wagon,5,7997
TOYOTA,VANGUARD,2012/2,"71,000km","2,360cc",PETROL,AT,,2WD,,,,SUV,7,8316
TOYOTA,WISH,2015/12,"107,000km","1,790cc",PETROL,AT,,2WD,,,,Mini Van,7,8104
TOYOTA,LAND CRUISER PRADO,1996/10,"298,000km","2,980cc",DIESEL,AT,,4WD,,,,SUV,8,8482
MITSUBISHI,CANTER TRUCK,2016/1,"262,000km","2,990cc",DIESEL,MT,,2WD,,,,Truck,3,8376
HONDA,FIT 2019,2020/3,"127,000km","1,310cc",PETROL,AT,,2WD,,,,Hatchback,5,7878
TOYOTA,AURIS,2016/2,"99,000km","1,490cc",PETROL,AT,,2WD,,,,Hatchback,5,7985
MITSUBISHI,CANTER TRUCK,1999/1,"115,000km","4,560cc",DIESEL,MT,,2WD,,,,Truck,3,8364
TOYOTA,HIACE VAN,2013/5,"296,000km","2,980cc",DIESEL,AT,,2WD,,,,Van,3[6],8365
TOYOTA,PASSO 2021,2021/5,"80,000km","1,490cc",HYBRID(PETROL),AT,,2WD,,,,Hatchback,5,7757
TOYOTA,PASSO 2021,2021/5,"81,000km","1,490cc",HYBRID(PETROL),AT,,2WD,,,,Hatchback,5,7757
HINO,DUTRO,2003/3,"206,000km","4,610cc",DIESEL,MT,,2WD,,,,Truck,3,8344
MITSUBISHI,CANTER TRUCK,2008/11,"435,000km","4,890cc",DIESEL,MT,,2WD,,,,Truck,3,8345
TOYOTA,PASSO 2021,2021/5,"81,000km","1,500cc",HYBRID(PETROL),AT,,2WD,,,,Hatchback,,7757
TOYOTA,PASSO 2021,2021/5,"80,000km","1,500cc",HYBRID(PETROL),AT,,2WD,,,,Hatchback,,7757
MITSUBISHI,CANTER TRUCK,1996/11,"72,000km","4,560cc",DIESEL,MT,,2WD,,,,Truck,3,8334
TOYOTA,VANGUARD,2010/6,"112,000km","2,360cc",PETROL,AT,,4WD,,,,SUV,7,8275
TOYOTA,HIACE VAN,2008/10,"288,000km","2,980cc",DIESEL,AT,,2WD,,,,Van,2[5],8324
SUBARU,IMPREZA SPORT 2019,2019/12,"76,000km","1,990cc",PETROL,AT,,4WD,,,,Hatchback,5,7938
TOYOTA,COROLLA AXIO 2019,2019/8,"56,000km","1,490cc",HYBRID(PETROL),AT,,2WD,,,,Sedan,5,7832
TOYOTA,COROLLA FIELDER 2019,2020/1,"236,000km","1,490cc",HYBRID(PETROL),AT,,2WD,,,,Station Wagon,5,7914
HONDA,FIT 2018,2017/7,"69,000km","1,320cc",PETROL,AT,,2WD,,,,Hatchback,5,7696
HONDA,FIT 2018,2017/3,"40,000km","1,320cc",PETROL,AT,,2WD,,,,Hatchback,5,7696
TOYOTA,RAV4,2014/3,"64,000km","2,360cc",PETROL,AT,,2WD,,,,SUV,5,8117
MITSUBISHI,CANTER TRUCK,1999/11,"183,000km","5,240cc",DIESEL,MT,,2WD,,,,Truck,3,8803
HONDA,SHUTTLE 2019,2019/2,"120,000km","1,490cc",HYBRID(PETROL),AT,,2WD,,,,Station Wagon,5,7895
HINO,DUTRO,2012/3,"414,000km","4,000cc",DIESEL,MT,,2WD,,,,Truck,3,8274
HINO,DUTRO,2004/4,"60,000km","4,000cc",DIESEL,MT,,2WD,,,,Truck,3,8262
TOYOTA,ESQUIRE,2016/11,"178,000km","1,980cc",PETROL,AT,,2WD,,,,Mini Van,8,8205
MAZDA,AXELA,2015/7,"89,000km","1,490cc",PETROL,AT,,2WD,,,,Sedan,5,7888
TOYOTA,COROLLA AXIO 2019,2019/5,"93,000km","1,490cc",HYBRID(PETROL),AT,,2WD,,,,Sedan,5,7781
MAZDA,CX5,2016/3,"156,000km","2,180cc",DIESEL,AT,,4WD,,,,SUV,5,8203
NISSAN,SERENA 2019,2019/6,"126,000km","1,990cc",HYBRID(PETROL),AT,,2WD,,,,Mini Van,8,8207
MAZDA,MAZDA2 2020,2020/11,"101,000km","1,490cc",PETROL,AT,,2WD,,,,Hatchback,5,7757
NISSAN,XTRAIL,2016/6,"169,000km","1,990cc",PETROL,AT,,4WD,,,,SUV,7,8174
TOYOTA,MARK X 2018,2018/10,"149,000km","1,990cc",PETROL,AT,,4WD,,,,Sedan,5,7858
TOYOTA,ESQUIRE,2016/4,"161,000km","1,980cc",PETROL,AT,,2WD,,,,Mini Van,7,8164
MITSUBISHI,CANTER TRUCK,2003/2,"152,000km","4,210cc",DIESEL,MT,,2WD,,,,Truck,3,8433
TOYOTA,PREMIO,2015/3,"48,000km","1,790cc",PETROL,AT,,2WD,,,,Sedan,5,7845
TOYOTA,PREMIO,2010/2,"54,000km","1,490cc",PETROL,AT,,2WD,,,,Sedan,5,7845
TOYOTA,VELLFIRE 2018,2018/3,"99,000km","1,990cc",DIESEL,AT,,2WD,,,,Mini Van,7,8048
BMW,3 SERIES,2016/11,"117,000km","1,990cc",DIESEL,AT,,2WD,,,,Sedan,5,7838
MAZDA,CX5,2013/7,"55,000km","1,990cc",PETROL,AT,,2WD,,,,SUV,5,8153
TOYOTA,COROLLA AXIO 2019,2019/8,"120,000km","1,490cc",HYBRID(PETROL),AT,,2WD,,,,Sedan,5,7721
TOYOTA,SUCCEED VAN 2019,2019/1,"92,000km","1,490cc",PETROL,AT,,2WD,,,,Van,2[5],7721
SUBARU,FORESTER 2018,2017/2,"96,000km","1,990cc",PETROL,AT,,2WD,,,,SUV,5,8144
VOLKSWAGEN,TIGUAN,2015/3,"78,000km","1,380cc",PETROL,AT,,2WD,,,,SUV,5,8042
TOYOTA,PREMIO,2014/4,"39,000km","1,790cc",PETROL,AT,,2WD,,,,Sedan,5,7824
SUBARU,FORESTER 2018,2017/2,"102,000km","1,990cc",PETROL,AT,,2WD,,,,SUV,5,8144
HONDA,GRACE,2016/11,"64,000km","1,490cc",HYBRID(PETROL),AT,,2WD,,,,Sedan,5,7812
SUBARU,FORESTER 2018,2017/3,"113,000km","1,990cc",PETROL,AT,,4WD,,,,SUV,5,8134
TOYOTA,PASSO 2021,2021/4,"81,000km","1,490cc",HYBRID(PETROL),AT,,2WD,,,,Hatchback,5,7605
TOYOTA,PASSO 2021,2021/5,"74,000km","1,490cc",HYBRID(PETROL),AT,,2WD,,,,Hatchback,5,7605
TOYOTA,VANGUARD,2011/3,"107,000km","2,360cc",PETROL,AT,,2WD,,,,SUV,5,8123
TOYOTA,COROLLA FIELDER,2016/7,"159,000km","1,490cc",PETROL,AT,,2WD,,,,Station Wagon,5,7701
TOYOTA,COROLLA FIELDER,2016/1,"157,000km","1,490cc",PETROL,AT,,2WD,,,,Station Wagon,5,7701
TOYOTA,ESQUIRE,2015/8,"120,000km","1,980cc",PETROL,AT,,2WD,,,,Mini Van,7,8124
MAZDA,MAZDA2 2020,2020/11,"98,000km","1,490cc",PETROL,AT,,2WD,,,,Hatchback,5,7687
TOYOTA,COROLLA AXIO 2019,2019/8,"102,000km","1,490cc",HYBRID(PETROL),AT,,2WD,,,,Sedan,5,7690
TOYOTA,COROLLA AXIO 2019,2019/9,"106,000km","1,490cc",HYBRID(PETROL),AT,,2WD,,,,Sedan,5,7690
TOYOTA,PASSO 2021,2021/6,"114,000km","1,490cc",HYBRID(PETROL),AT,,2WD,,,,Hatchback,5,7585
TOYOTA,COROLLA FIELDER 2018,2017/2,"77,000km","1,490cc",PETROL,AT,,2WD,,,,Station Wagon,5,7691
TOYOTA,VANGUARD,2010/3,"97,000km","2,400cc",PETROL,AT,,2WD,,,,SUV,5,8113
MITSUBISHI,CANTER TRUCK,2002/7,"524,000km","4,210cc",DIESEL,MT,,2WD,,,,Truck,3,8162
TOYOTA,RAV4,2009/10,"57,000km","2,360cc",PETROL,AT,,4WD,,,,SUV,5,7998
MITSUBISHI,CANTER TRUCK,1995/11,"240,000km","4,210cc",DIESEL,MT,,2WD,,,,Truck,3,8152
MITSUBISHI,CANTER TRUCK,2001/2,"307,000km","4,210cc",DIESEL,MT,,2WD,,,,Truck,3,8153
AUDI,Q3,2015/2,"95,000km","1,980cc",PETROL,AT,,4WD,,,,SUV,5,7883
TOYOTA,ESQUIRE,2016/3,"124,000km","1,980cc",PETROL,AT,,4WD,,,,Mini Van,8,8095
MAZDA,CX3,2016/7,"123,000km","1,490cc",DIESEL,AT,,2WD,,,,SUV,5,7775
MAZDA,CX5,2016/1,"180,000km","2,180cc",DIESEL,AT,,4WD,,,,SUV,5,8092
TOYOTA,COROLLA AXIO,2015/6,"37,000km","1,500cc",PETROL,AT,,2WD,,,,Sedan,,7670
MITSUBISHI,CANTER TRUCK,2015/12,"455,000km","2,990cc",DIESEL,MT,,2WD,,,,Truck,3,14351
TOYOTA,RUSH,2013/7,"52,000km","1,490cc",PETROL,AT,,2WD,,,,SUV,5,7753
TOYOTA,TOYOACE TRUCK,2003/1,"302,000km","2,690cc",PETROL,MT,,2WD,,,,Truck,3,8238
TOYOTA,COROLLA AXIO 2019,2019/6,"117,000km","1,490cc",HYBRID(PETROL),AT,,2WD,,,,Sedan,5,7640
TOYOTA,AURIS,2016/10,"91,000km","1,490cc",PETROL,AT,,2WD,,,,Hatchback,5,7732
TOYOTA,MARK X 2018,2017/11,"95,000km","1,500cc",PETROL,AT,,2WD,,,,Sedan,,7630
MAZDA,CX5,2016/1,"76,000km","2,180cc",DIESEL,AT,,2WD,,,,SUV,5,8041
TOYOTA,COROLLA FIELDER 2019,2019/1,"146,000km","1,490cc",HYBRID(PETROL),AT,,2WD,,,,Station Wagon,5,7722
FORD,EXPLORER,2014/5,"164,000km","3,490cc",PETROL,AT,,4WD,,,,SUV,7,8316
HINO,DUTRO,2006/3,"375,000km","4,890cc",DIESEL,MT,,2WD,,,,Truck,,8100
MITSUBISHI,CANTER TRUCK,2004/9,"274,000km","4,890cc",DIESEL,MT,,2WD,,,,Truck,3,8950
NISSAN,NV200VANETTE VAN 2020,2020/2,"152,000km","1,600cc",PETROL,AT,,2WD,,,,Van,,7938
TOYOTA,DYNA,2007/3,"68,000km","4,000cc",DIESEL,AT,,2WD,,,,Truck,3,9315
VOLKSWAGEN,TIGUAN,2014/1,"131,000km","1,380cc",PETROL,AT,,2WD,,,,SUV,5,7928
TOYOTA,AURIS,2016/8,"90,000km","1,790cc",HYBRID(PETROL),AT,,2WD,,,,Hatchback,5,7712
SUBARU,BRZ,2015/9,"108,000km","1,990cc",PETROL,AT,,2WD,,,,Coupe,4,7492
HONDA,CRV,2014/8,"107,000km","2,350cc",PETROL,AT,,4WD,,,,SUV,5,7918
MITSUBISHI,CANTER TRUCK,2006/11,"174,000km","2,970cc",DIESEL,MT,,2WD,,,,Truck,3,8988
TOYOTA,COROLLA FIELDER 2018,2017/9,"134,000km","2,490cc",PETROL,AT,,4WD,,,,Station Wagon,5,8010
AUDI,Q5,2012/11,"55,000km","1,980cc",PETROL,AT,,4WD,,,,SUV,5,8013
NISSAN,XTRAIL,2016/12,"114,000km","1,990cc",PETROL,AT,,4WD,,,,SUV,5,8012
TOYOTA,VANGUARD,2011/11,"92,000km","2,360cc",PETROL,AT,,2WD,,,,SUV,7,8001
TOYOTA,MARK X 2018,2018/4,"123,000km","1,990cc",PETROL,AT,,4WD,,,,Sedan,5,7685
TOYOTA,ALLION,2012/3,"24,000km","1,790cc",PETROL,AT,,2WD,,,,Sedan,5,7682
MITSUBISHI,CANTER TRUCK,2009/10,"133,000km","4,890cc",DIESEL,MT,,2WD,,,,Truck,3,8049
TOYOTA,SUCCEED VAN 2019,2019/5,"95,000km","1,490cc",PETROL,AT,,2WD,,,,Van,2[5],7569
TOYOTA,TOYOACE TRUCK,1996/9,"54,000km","2,770cc",DIESEL,MT,,2WD,,,,Truck,3,8048
HINO,DUTRO,2004/11,"105,000km","4,890cc",DIESEL,MT,,2WD,,,,Truck,3,8050
TOYOTA,TOYOACE 2018,2017/1,"297,000km","2,990cc",DIESEL,MT,,2WD,,,,Truck,3,8040
NISSAN,NOTE 2020,2020/9,"32,000km","1,190cc",HYBRID(PETROL),AT,,2WD,,,,Hatchback,5,7548
TOYOTA,HIACE WAGON,2008/1,"179,000km","2,690cc",PETROL,AT,,4WD,,,,Wagon,10,8451
TOYOTA,LAND CRUISER PRADO,2000/9,"171,000km","2,690cc",PETROL,AT,,4WD,,,,SUV,8,8135
MITSUBISHI,PAJERO,2008/5,"183,000km","3,820cc",PETROL,AT,,4WD,,,,SUV,7,8238
HONDA,FIT HYBRID 2019,2019/1,"138,000km","1,490cc",HYBRID(PETROL),AT,,2WD,,,,Hatchback,5,7545
TOYOTA,SUCCEED VAN 2019,2019/2,"68,000km","1,490cc",PETROL,AT,,2WD,,,,Van,2[5],7549
TOYOTA,SUCCEED VAN 2019,2019/2,"86,000km","1,490cc",PETROL,AT,,2WD,,,,Van,2[5],7549
TOYOTA,SUCCEED VAN 2019,2019/2,"74,000km","1,490cc",PETROL,AT,,2WD,,,,Van,2[5],7549
TOYOTA,VANGUARD,2010/2,"104,000km","2,360cc",PETROL,AT,,2WD,,,,SUV,5,7970
TOYOTA,MARK X 2018,2017/11,"38,000km","1,490cc",HYBRID(PETROL),AT,,2WD,,,,Sedan,5,7650
AUDI,A6,2015/12,"130,000km","1,980cc",PETROL,AT,,4WD,,,,Sedan,5,7855
TOYOTA,COROLLA FIELDER 2019,2019/10,"171,000km","1,490cc",HYBRID(PETROL),AT,,2WD,,,,Station Wagon,5,7641
TOYOTA,SUCCEED VAN 2019,2019/12,"135,000km","1,490cc",PETROL,AT,,2WD,,,,Van,2[5],7539
AUDI,Q5,2015/1,"84,000km","1,980cc",PETROL,AT,,4WD,,,,SUV,5,7952
AUDI,Q3,2015/3,"102,000km","1,980cc",PETROL,AT,,4WD,,,,SUV,5,7741
AUDI,A3,2016/1,"72,000km","1,390cc",PETROL,AT,,2WD,,,,Hatchback,5,7631
TOYOTA,PREMIO,2011/8,"215,000km","1,490cc",PETROL,AT,,2WD,,,,Sedan,5,7622
TOYOTA,VANGUARD,2011/2,"100,000km","2,360cc",PETROL,AT,,2WD,,,,SUV,5,7940
AUDI,Q5,2014/5,"101,000km","1,980cc",PETROL,AT,,4WD,,,,SUV,5,7942
TOYOTA,TOYOACE TRUCK,2009/2,"115,000km","4,000cc",DIESEL,AT,,2WD,,,,Truck,3,9800
MITSUBISHI,CANTER TRUCK 2018,2018/1,"315,000km","2,990cc",DIESEL,DUONIC,,2WD,,,,Truck,3,7989
TOYOTA,ALLION,2012/4,"181,000km","1,490cc",PETROL,AT,,2WD,,,,Sedan,5,7611
SUBARU,FORESTER 2018,2017/1,"187,000km","1,990cc",HYBRID(PETROL),AT,,4WD,,,,SUV,5,7921
TOYOTA,MARK X 2018,2017/2,"111,000km","1,990cc",PETROL,AT,,2WD,,,,Sedan,5,7604
HONDA,SHUTTLE 2019,2019/2,"151,000km","1,490cc",HYBRID(PETROL),AT,,4WD,,,,Station Wagon,5,7603
MITSUBISHI,CANTER TRUCK,2015/12,"309,000km","2,990cc",DIESEL,MT,,2WD,,,,Truck,3,7969
HONDA,GRACE,2016/1,"66,000km","1,490cc",HYBRID(PETROL),AT,,2WD,,,,Sedan,5,7590
TOYOTA,HIACE VAN,2005/11,"237,000km","2,490cc",DIESEL,AT,,2WD,,,,Van,2[5],7958
TOYOTA,DYNA,2007/9,"149,000km","4,000cc",DIESEL,MT,,2WD,,,,Truck,3,7958
VOLKSWAGEN,TIGUAN,2013/3,"103,000km","1,380cc",PETROL,AT,,2WD,,,,SUV,5,7798
VOLKSWAGEN,TIGUAN,2013/1,"87,000km","1,380cc",PETROL,AT,,2WD,,,,SUV,5,7798
TOYOTA,AURIS,2016/6,"129,000km","1,790cc",HYBRID(PETROL),AT,,2WD,,,,Hatchback,5,7581
TOYOTA,PROBOX VAN 2020,2020/3,"117,000km","1,500cc",PETROL,AT,,2WD,,,,Van,,7478
